institut,datum,urval,urval_skattat,V,S,MP,C,L,M,KD,SD
Inizio,2018-08-27,1200,True,8.8,24.0,5.8,8.7,5.1,20.3,5.7,18.7
Ipsos,2018-08-24,1800,True,9.8,26.3,6.0,8.8,5.4,17.1,4.6,19.4
Sifo,2018-08-24,1200,True,9.5,25.4,6.1,10.3,5.9,17.6,4.7,18.6
Skop,2018-08-22,1200,True,9.2,24.5,5.8,8.2,6.3,17.1,4.6,20.1
Novus,2018-08-22,2330,True,8.7,25.1,6.2,10.0,5.4,19.3,3.5,19.2
Ipsos,2018-08-17,1800,True,9.5,24.9,6.1,10.1,5.9,17.7,4.0,19.0
Sifo,2018-08-17,1200,True,9.3,25.2,6.5,9.5,5.1,19.4,4.2,18.7
Sentio,2018-08-17,1000,True,10.6,22.5,4.7,7.6,4.3,19.6,3.8,21.8
Novus,2018-08-16,2330,True,9.6,24.3,5.2,9.6,5.9,18.1,3.0,21.6
Yougov,2018-08-15,1200,True,9.2,21.9,5.1,7.9,5.3,15.8,3.8,24.2
Demoskop,2018-08-14,2100,True,8.8,23.6,6.5,11.1,4.8,19.7,3.6,19.6
Sifo,2018-08-10,1200,True,9.2,25.8,5.6,10.3,6.0,20.3,3.3,16.8
Inizio,2018-08-06,1200,True,8.7,24.9,4.8,9.5,4.4,20.4,4.8,19.0
Sentio,2018-08-02,1000,True,12.6,21.1,3.9,6.9,4.6,19.1,2.4,25.5
Yougov,2018-07-15,1200,True,9.8,21.2,3.9,8.6,5.4,15.9,3.8,25.7
Skop,2018-07-15,1200,True,10.3,25.9,3.5,10.1,4.9,19.2,3.3,20.7
Demoskop,2018-07-15,2100,True,9.1,25.9,4.2,9.8,4.3,19.9,2.5,21.0
Sentio,2018-07-15,1000,True,10.8,21.2,3.8,7.1,5.8,18.1,4.0,25.6
Novus,2018-07-15,2330,True,10.1,23.7,5.7,8.4,5.0,19.6,3.2,21.6
Skop,2018-06-15,1200,True,7.6,26.3,4.5,9.0,4.5,22.9,2.5,19.0
Ipsos,2018-06-15,1800,True,9.0,24.0,4.0,10.0,6.0,19.0,3.0,20.0
Yougov,2018-06-15,1200,True,9.3,22.0,3.8,7.1,4.3,17.3,3.1,28.5
Sentio,2018-06-15,1000,True,9.7,21.7,4.8,7.2,7.0,17.1,3.3,26.1
Demoskop,2018-06-15,2100,True,8.3,23.1,4.9,9.8,5.1,19.9,3.8,21.0
Sifo,2018-06-15,1200,True,9.8,26.1,4.0,10.8,4.9,20.6,2.4,18.5
Inizio,2018-06-02,1200,True,8.9,23.9,3.9,9.5,5.1,20.6,4.5,20.5
Novus,2018-06-02,2330,True,9.0,24.5,4.7,8.9,4.8,19.8,3.4,22.4
Novus,2018-06-01,2330,True,9.1,23.8,4.5,8.9,4.6,21.1,2.9,21.9
Inizio,2018-06-01,1200,True,8.2,24.5,3.9,9.5,4.3,22.0,4.9,19.4
Sifo,2018-05-15,1200,True,9.3,25.2,4.0,8.1,4.8,23.6,3.5,18.7
Novus,2018-05-15,2330,True,8.4,26.9,4.3,9.4,4.4,20.6,3.5,19.2
Demoskop,2018-05-15,2100,True,7.7,26.3,4.4,9.1,4.9,22.3,2.9,19.4
Ipsos,2018-05-15,1800,True,9.0,24.0,4.0,9.0,5.0,22.0,4.0,20.0
Sentio,2018-05-15,1000,True,9.2,25.3,4.4,7.6,3.7,20.4,2.1,23.1
Yougov,2018-05-15,1200,True,9.0,23.0,3.6,10.1,4.2,18.3,3.0,23.0
SCB,2018-05-15,4500,True,7.4,28.3,4.3,8.7,4.4,22.6,2.9,18.5
Inizio,2018-05-15,1200,True,7.4,26.6,3.8,9.0,4.2,22.4,4.8,16.9
Novus,2018-04-15,2330,True,8.1,26.9,4.0,9.2,5.0,22.1,3.5,18.2
Sentio,2018-04-15,1000,True,8.3,25.9,4.4,6.4,4.4,20.1,2.4,21.4
Skop,2018-04-15,1200,True,7.0,26.7,3.5,9.0,5.1,25.1,4.3,16.7
Inizio,2018-04-15,1200,True,6.5,27.3,4.0,9.0,3.9,23.3,5.1,15.9
Ipsos,2018-04-15,1800,True,8.0,26.0,4.0,12.0,5.0,21.0,3.0,17.0
Sifo,2018-04-15,1200,True,8.1,28.4,4.1,9.7,4.4,23.0,3.4,14.8
Demoskop,2018-04-15,2100,True,8.7,25.9,5.2,9.5,4.0,22.2,3.3,18.8
Yougov,2018-04-15,1200,True,8.5,23.3,3.9,8.9,4.0,19.9,3.2,22.1
Yougov,2018-03-15,1200,True,8.3,24.0,4.0,7.6,4.7,18.8,3.6,22.4
Sifo,2018-03-15,1200,True,7.7,29.0,3.8,10.0,4.4,23.1,3.0,15.9
Novus,2018-03-15,2330,True,7.8,27.8,3.8,9.3,5.0,22.6,3.2,17.8
Inizio,2018-03-15,1200,True,6.9,26.4,3.3,8.8,3.6,24.5,5.9,15.7
Ipsos,2018-03-15,1800,True,9.0,28.0,4.0,10.0,5.0,21.0,3.0,17.0
Demoskop,2018-03-15,2100,True,8.5,27.2,4.6,7.9,5.1,21.8,3.3,18.6
Sentio,2018-03-15,1000,True,8.1,24.6,4.7,6.5,3.9,19.5,4.8,23.0
Skop,2018-02-15,1200,True,7.7,26.9,3.1,10.7,5.1,25.0,3.5,15.5
Sentio,2018-02-15,1000,True,9.0,24.6,3.3,10.8,4.4,21.0,2.2,21.9
Novus,2018-02-15,2330,True,8.1,28.4,4.3,8.8,4.6,23.7,2.7,17.1
Demoskop,2018-02-15,2100,True,7.2,27.3,5.1,9.3,4.9,23.9,3.5,15.4
Sifo,2018-02-15,1200,True,7.2,27.3,4.6,10.5,5.0,23.8,2.8,16.2
Inizio,2018-02-15,1200,True,6.8,28.5,3.2,9.3,4.0,24.6,4.1,15.6
Ipsos,2018-02-15,1800,True,9.0,29.0,3.0,11.0,5.0,21.0,3.0,16.0
Yougov,2018-02-15,1200,True,10.0,22.4,3.4,9.3,4.7,20.5,2.6,22.1
Yougov,2018-01-15,1200,True,7.8,26.2,4.5,9.1,3.8,20.9,2.5,20.5
Novus,2018-01-15,2330,True,7.6,28.6,4.1,8.9,5.0,23.8,2.7,16.5
Inizio,2018-01-15,1200,True,7.4,28.3,3.6,9.9,3.4,23.7,4.0,16.0
Ipsos,2018-01-15,1800,True,7.0,28.0,4.0,9.0,5.0,25.0,3.0,16.0
Sentio,2018-01-15,1000,True,7.1,27.0,3.8,8.6,3.6,19.9,2.9,22.2
Demoskop,2018-01-15,2100,True,7.2,27.8,4.4,9.2,4.5,22.6,2.9,17.9
Sifo,2018-01-15,1200,True,7.7,27.8,4.1,8.8,5.1,24.4,2.9,16.2
Yougov,2017-12-15,1200,True,7.0,25.5,3.9,7.9,4.9,22.7,3.3,20.5
Novus,2017-12-15,2330,True,7.5,29.5,4.3,9.8,5.4,21.3,3.3,16.8
Demoskop,2017-12-15,2100,True,8.5,27.1,3.9,9.1,5.8,20.9,3.0,18.3
Sentio,2017-12-15,1000,True,8.0,23.0,3.9,10.0,4.6,20.2,3.0,23.0
Sifo,2017-12-15,1200,True,7.4,29.3,4.1,10.2,5.0,22.0,2.7,16.5
Inizio,2017-12-15,1200,True,6.8,27.5,3.1,10.1,3.9,23.7,4.8,15.9
Ipsos,2017-12-15,1800,True,7.0,28.0,4.0,10.0,5.0,23.0,3.0,16.0
Novus,2017-11-30,2330,True,7.3,28.6,5.0,11.0,5.5,19.9,3.6,16.6
Yougov,2017-11-15,1200,True,7.6,25.2,4.6,10.3,4.5,20.2,2.8,20.7
Sentio,2017-11-15,1000,True,7.7,26.6,4.8,9.1,4.2,18.2,3.3,21.7
Sifo,2017-11-15,1200,True,6.9,29.8,4.2,10.3,5.4,22.4,3.1,14.7
SCB,2017-11-15,4500,True,7.0,32.6,3.8,9.5,4.2,22.2,3.1,14.8
Inizio,2017-11-15,1200,True,6.8,28.6,4.0,10.1,3.3,23.2,4.0,15.4
Ipsos,2017-11-15,1800,True,8.0,28.0,5.0,11.0,5.0,21.0,3.0,16.0
Demoskop,2017-11-15,2100,True,7.5,28.2,4.4,9.1,4.9,21.9,2.8,18.1
Novus,2017-11-02,2330,True,7.6,29.8,4.0,10.8,4.8,20.6,3.8,16.2
Inizio,2017-10-15,1200,True,6.6,30.1,3.2,11.5,3.7,18.7,4.4,17.9
Novus,2017-10-15,2330,True,7.9,29.4,4.3,12.5,6.4,16.2,3.5,17.5
Skop,2017-10-15,1200,True,7.4,28.3,3.5,11.9,4.8,22.2,3.4,16.0
Ipsos,2017-10-15,1800,True,7.0,30.0,4.0,10.0,6.0,22.0,3.0,15.0
Sentio,2017-10-15,1000,True,8.8,25.9,4.0,9.6,5.5,16.8,2.3,22.8
Yougov,2017-10-15,1200,True,7.7,25.2,3.2,9.0,5.4,19.9,3.0,21.9
Demoskop,2017-10-15,2100,True,7.9,32.1,4.4,12.6,4.5,17.2,3.7,15.3
Sifo,2017-10-15,1200,True,8.3,30.5,3.8,12.3,6.1,18.6,2.9,15.0
Inizio,2017-09-15,1200,True,6.5,28.8,3.5,12.3,3.6,16.5,4.7,19.9
Sifo,2017-09-15,1200,True,7.4,29.7,4.5,11.9,5.0,17.2,3.7,17.8
Sentio,2017-09-15,1000,True,6.9,25.3,4.1,11.5,4.7,17.0,3.1,23.4
Demoskop,2017-09-15,2100,True,8.0,30.3,4.6,11.2,5.2,17.3,2.8,18.1
Yougov,2017-09-15,1200,True,7.5,26.3,3.1,9.4,5.5,16.0,3.1,25.3
Ipsos,2017-09-15,1800,True,7.0,29.0,4.0,13.0,6.0,16.0,3.0,18.0
Novus,2017-09-15,2330,True,6.8,29.7,4.8,12.0,5.4,16.3,3.9,18.1
Ipsos,2017-08-15,1800,True,8.0,29.0,5.0,11.0,6.0,17.0,3.0,19.0
Sentio,2017-08-15,1000,True,8.6,23.5,4.3,10.5,4.1,15.1,3.2,27.4
Sifo,2017-08-15,1200,True,6.4,30.0,4.1,12.4,6.2,16.2,3.6,18.3
Novus,2017-08-15,2330,True,7.6,29.3,3.9,12.8,5.5,15.2,4.3,18.7
Yougov,2017-08-15,1200,True,8.2,25.4,4.3,11.5,4.6,16.1,2.9,23.6
Demoskop,2017-08-15,2100,True,7.4,28.4,4.4,12.9,6.4,17.2,4.0,16.6
Inizio,2017-08-15,1200,True,6.8,28.7,2.6,12.9,4.1,16.0,4.8,20.1
Sentio,2017-07-15,1000,True,9.2,22.4,3.8,11.6,5.7,12.7,3.8,26.8
Yougov,2017-07-15,1200,True,8.0,24.9,4.1,10.5,5.3,17.8,2.6,23.0
Skop,2017-07-15,1200,True,7.3,27.1,4.4,12.8,6.4,15.0,3.0,20.2
Inizio,2017-07-15,1200,True,7.0,27.1,3.1,12.4,4.7,16.8,4.0,21.1
Demoskop,2017-07-15,2100,True,8.0,27.0,4.9,11.9,6.7,15.7,2.6,20.1
Sentio,2017-06-15,1000,True,7.9,24.7,3.1,11.2,4.2,15.9,3.5,25.8
Sifo,2017-06-15,1200,True,7.7,29.2,4.0,13.4,6.2,15.9,2.9,18.0
Demoskop,2017-06-15,2100,True,8.9,26.7,4.1,11.0,4.8,18.2,2.6,20.2
Inizio,2017-06-15,1200,True,6.7,27.4,3.1,12.8,4.2,16.4,4.4,20.4
Ipsos,2017-06-15,1800,True,8.0,29.0,4.0,12.0,7.0,16.0,3.0,18.0
Yougov,2017-06-15,1200,True,8.0,22.3,4.2,11.7,5.3,17.4,3.4,24.0
Novus,2017-06-15,2330,True,7.6,27.3,4.3,13.3,5.6,16.6,3.1,19.3
Novus,2017-06-15,2330,True,8.4,27.3,4.5,12.5,5.8,15.9,3.3,20.0
SCB,2017-05-15,4500,True,6.3,31.1,4.5,11.3,5.0,18.1,3.2,18.4
Demoskop,2017-05-15,2100,True,6.6,27.8,4.6,12.8,5.5,18.0,3.7,17.3
Yougov,2017-05-15,1200,True,8.1,25.3,2.1,12.8,5.4,16.0,2.9,23.6
Sifo,2017-05-15,1200,True,7.8,29.5,3.7,12.6,5.7,17.5,2.7,16.6
Ipsos,2017-05-15,1800,True,9.0,26.0,3.0,13.0,7.0,15.0,4.0,19.0
Sentio,2017-05-15,1000,True,8.1,24.0,4.1,10.6,4.8,17.9,2.5,23.2
Novus,2017-05-15,2330,True,7.5,28.3,4.3,12.2,5.3,16.4,3.9,19.5
Inizio,2017-05-02,1200,True,7.2,25.7,3.0,13.6,4.7,16.8,4.2,20.8
Inizio,2017-05-01,1200,True,6.9,26.5,2.9,13.3,5.0,16.8,4.7,20.7
Novus,2017-04-15,2330,True,7.4,28.2,4.2,12.6,5.2,16.4,3.4,19.0
Ipsos,2017-04-15,1800,True,8.0,29.0,3.0,12.0,6.0,17.0,4.0,18.0
Demoskop,2017-04-15,2100,True,7.4,26.2,5.7,13.5,6.0,17.8,2.8,17.8
Sentio,2017-04-15,1000,True,7.2,23.3,4.8,8.7,4.8,15.8,3.7,27.2
Inizio,2017-04-15,1200,True,6.7,28.3,2.5,12.5,4.4,16.8,4.6,21.2
Sifo,2017-04-15,1200,True,7.8,29.2,5.0,13.0,5.5,18.1,2.6,16.5
Sifo,2017-04-15,1200,True,8.2,29.9,3.2,13.8,5.4,17.5,2.9,16.7
Yougov,2017-04-15,1200,True,6.3,24.1,2.7,12.8,5.5,15.6,3.6,25.6
Inizio,2017-03-15,1200,True,7.1,25.7,3.1,12.1,4.7,17.6,4.0,22.2
Sentio,2017-03-15,1000,True,8.9,24.1,3.4,11.0,3.9,15.2,2.4,26.0
Sifo,2017-03-15,1200,True,7.1,28.7,4.5,14.2,5.7,18.4,2.8,16.7
Yougov,2017-03-15,1200,True,8.7,22.0,3.5,12.5,6.5,15.4,3.0,23.9
Ipsos,2017-03-15,1800,True,8.0,27.0,5.0,13.0,7.0,17.0,3.0,18.0
Novus,2017-03-15,2330,True,7.1,26.7,4.6,12.2,5.9,18.0,3.2,19.2
Demoskop,2017-03-15,2100,True,7.9,27.8,5.7,12.1,5.1,16.6,3.0,18.2
Demoskop,2017-02-15,2100,True,9.0,26.9,4.7,11.1,5.8,18.5,3.6,17.5
Novus,2017-02-15,2330,True,7.8,27.1,4.5,11.5,5.3,19.1,3.1,18.5
Yougov,2017-02-15,1200,True,8.1,23.5,3.9,11.8,4.2,17.0,3.6,23.9
Ipsos,2017-02-15,1800,True,7.0,27.0,4.0,12.0,6.0,20.0,3.0,17.0
Sentio,2017-02-15,1000,True,8.2,23.2,3.6,10.7,4.6,16.7,3.0,26.9
Inizio,2017-02-15,1200,True,7.3,25.0,3.7,10.9,5.4,19.8,4.2,21.5
Sifo,2017-02-15,1200,True,6.9,27.5,4.9,11.8,5.6,20.4,3.6,16.8
Sifo,2017-02-15,1200,True,7.4,27.3,4.6,11.6,5.9,19.8,3.9,16.5
Inizio,2017-01-15,1200,True,6.9,25.8,4.3,9.7,4.7,21.3,3.7,21.5
Demoskop,2017-01-15,2100,True,8.1,26.7,4.7,9.4,4.7,24.3,2.6,16.2
Ipsos,2017-01-15,1800,True,8.0,25.0,4.0,9.0,7.0,23.0,3.0,16.0
Novus,2017-01-15,2330,True,7.7,26.9,4.4,9.3,5.4,22.4,3.3,17.7
Sentio,2017-01-15,1000,True,9.1,21.8,5.4,8.9,5.5,18.4,3.9,22.3
Sifo,2017-01-15,1200,True,8.0,29.7,4.3,9.3,5.3,21.9,2.6,16.0
Yougov,2017-01-15,1200,True,8.1,21.5,3.9,8.9,4.5,21.4,2.8,24.7
Sifo,2016-12-15,1200,True,8.4,27.6,5.2,9.1,6.0,22.2,3.6,15.2
Yougov,2016-12-15,1200,True,7.2,24.3,3.2,8.4,4.9,19.0,4.2,24.2
Inizio,2016-12-15,1200,True,7.7,26.2,3.5,8.8,5.3,21.6,4.0,20.6
Novus,2016-12-15,2330,True,7.4,27.3,4.9,9.3,5.4,21.8,3.0,17.9
Sentio,2016-12-15,1000,True,9.2,23.8,3.6,8.1,6.4,18.4,3.7,22.6
Ipsos,2016-12-15,1800,True,7.0,26.0,5.0,9.0,7.0,22.0,3.0,17.0
Demoskop,2016-12-15,2100,True,7.5,25.8,5.2,9.2,4.8,22.3,3.2,18.5
Novus,2016-11-15,2330,True,7.5,26.6,5.1,8.0,5.6,23.1,3.0,17.8
Demoskop,2016-11-15,2100,True,8.4,27.8,4.6,7.8,4.8,23.6,2.5,17.6
SCB,2016-11-15,4500,True,7.7,29.2,4.5,7.1,5.0,22.8,3.1,17.5
Sifo,2016-11-15,1200,True,7.5,27.5,4.4,8.7,6.5,23.1,3.5,15.8
Yougov,2016-11-15,1200,True,8.0,21.8,3.3,7.7,5.9,22.3,2.3,24.8
Inizio,2016-11-15,1200,True,8.0,25.7,4.2,8.6,4.1,22.0,3.5,21.5
Sentio,2016-11-15,1000,True,9.1,20.8,3.0,8.1,4.8,20.5,3.4,25.0
Ipsos,2016-11-15,1800,True,7.0,27.0,4.0,8.0,6.0,23.0,3.0,17.0
Inizio,2016-10-15,1200,True,7.5,24.5,4.2,8.1,4.9,23.4,3.9,20.0
Sifo,2016-10-15,1200,True,8.2,25.9,4.7,8.3,5.4,25.0,2.8,16.8
Demoskop,2016-10-15,2100,True,6.4,28.7,4.1,8.1,5.0,22.7,3.7,16.9
Yougov,2016-10-15,1200,True,7.7,22.2,3.2,6.4,5.1,22.4,4.9,24.3
Sentio,2016-10-15,1000,True,9.7,23.5,2.4,8.7,5.9,19.5,4.1,21.7
Novus,2016-10-15,2330,True,7.5,26.2,4.5,8.3,5.7,22.9,2.9,18.7
Ipsos,2016-10-15,1800,True,8.0,25.0,5.0,7.0,7.0,24.0,2.0,19.0
Yougov,2016-09-15,1200,True,7.1,23.2,3.9,6.2,4.9,23.0,2.9,25.2
Demoskop,2016-09-15,2100,True,8.6,27.0,4.8,7.1,4.3,23.9,3.0,17.9
Sifo,2016-09-15,1200,True,8.0,28.0,4.3,8.4,5.2,24.8,3.0,15.6
Ipsos,2016-09-15,1800,True,7.0,26.0,4.0,7.0,6.0,24.0,4.0,19.0
Novus,2016-09-15,2330,True,7.6,26.8,4.9,7.5,4.7,24.7,3.3,17.7
Sentio,2016-09-15,1000,True,8.6,21.5,4.8,6.8,4.9,21.0,2.8,24.5
Inizio,2016-09-15,1200,True,8.2,25.2,3.7,8.6,4.3,24.2,3.9,18.9
Ipsos,2016-08-15,1800,True,7.0,26.0,4.0,8.0,5.0,25.0,3.0,18.0
Sifo,2016-08-15,1200,True,6.8,27.1,4.4,8.0,4.8,26.3,4.0,15.6
Inizio,2016-08-15,1200,True,9.4,26.1,3.2,8.3,4.5,24.6,3.8,17.9
Sentio,2016-08-15,1000,True,10.9,22.8,3.5,6.2,4.2,21.6,3.5,23.5
Yougov,2016-08-15,1200,True,8.0,22.9,2.8,6.5,4.0,23.6,3.1,24.8
Novus,2016-08-15,2330,True,7.7,26.4,4.4,7.6,5.1,25.3,3.2,17.2
Demoskop,2016-07-15,2100,True,7.6,26.0,4.8,7.9,5.7,24.7,3.3,16.8
Inizio,2016-06-15,1200,True,8.0,25.4,3.6,7.9,4.2,23.7,4.8,19.5
Demoskop,2016-06-15,2100,True,6.9,26.4,5.3,6.9,5.1,24.7,3.5,17.4
Yougov,2016-06-15,1200,True,7.4,22.7,3.2,7.4,3.3,24.4,4.0,23.3
Novus,2016-06-15,2330,True,7.5,26.2,4.3,6.7,5.0,26.0,2.8,18.2
Sentio,2016-06-15,1000,True,6.9,22.9,5.3,8.0,3.9,21.0,2.8,24.5
Sifo,2016-06-15,1200,True,7.1,26.4,4.4,6.3,5.8,27.4,3.2,15.8
Ipsos,2016-06-15,1800,True,7.8,26.2,4.4,7.1,6.0,24.5,3.5,16.8
Sentio,2016-05-15,1000,True,7.8,24.8,4.5,5.0,4.5,22.1,3.7,23.7
Yougov,2016-05-15,1200,True,7.5,22.6,2.8,7.9,5.3,22.1,4.6,22.9
Ipsos,2016-05-15,1800,True,7.4,27.8,3.5,6.1,7.1,24.5,3.2,17.1
SCB,2016-05-15,4500,True,6.8,29.5,4.7,6.1,5.4,24.7,3.1,17.3
Sifo,2016-05-15,1200,True,7.9,26.5,4.1,6.3,6.2,25.7,4.0,16.1
Inizio,2016-05-15,1200,True,9.6,24.3,4.4,7.5,4.7,23.9,5.0,18.8
Novus,2016-05-15,2330,True,7.3,25.9,4.5,6.0,6.5,25.7,3.3,17.7
Novus,2016-05-15,2330,True,7.7,23.8,4.5,6.4,5.6,27.9,3.2,17.8
Demoskop,2016-05-15,2100,True,8.0,24.9,5.1,7.4,5.6,25.5,3.3,16.4
Novus,2016-04-15,2330,True,7.1,26.0,5.6,6.8,5.8,24.0,3.1,18.9
Sentio,2016-04-15,1000,True,8.1,24.1,4.6,5.6,6.0,21.1,3.0,22.3
Sifo,2016-04-15,1200,True,7.2,26.7,6.0,7.3,5.5,25.8,3.5,15.7
Demoskop,2016-04-15,2100,True,7.7,25.5,5.3,6.3,5.3,28.0,3.5,15.5
Inizio,2016-04-15,1200,True,8.1,25.4,4.6,7.3,4.3,24.2,3.9,19.7
Yougov,2016-04-15,1200,True,7.8,23.5,5.4,6.7,3.6,23.6,2.7,23.6
Ipsos,2016-04-15,1800,True,7.1,24.4,4.8,6.1,6.3,28.1,3.3,16.6
Novus,2016-03-15,2330,True,7.6,24.9,6.2,6.2,5.3,24.2,3.5,19.9
Sentio,2016-03-15,1000,True,7.0,22.1,6.1,5.3,4.2,22.7,3.3,24.0
Inizio,2016-03-15,1200,True,7.1,27.2,4.8,6.7,4.0,23.9,4.2,18.9
Ipsos,2016-03-15,1800,True,7.3,28.9,5.0,6.1,5.4,25.6,3.6,14.7
Sifo,2016-03-15,1200,True,7.4,26.2,6.1,6.1,5.0,26.9,3.6,17.0
Demoskop,2016-03-15,2100,True,7.2,26.3,5.7,6.0,6.4,24.5,3.1,17.7
Yougov,2016-03-15,1200,True,7.2,21.9,5.0,5.7,3.7,24.6,3.6,24.9
Skop,2016-03-15,1200,True,7.0,26.7,7.0,5.9,5.1,25.1,4.5,16.3
Sifo,2016-02-15,1200,True,7.5,25.2,6.5,7.1,6.0,25.4,3.5,16.6
Novus,2016-02-15,2330,True,7.2,24.1,5.6,6.6,5.8,25.0,3.5,19.3
Ipsos,2016-02-15,1800,True,7.7,25.1,5.3,6.2,7.4,25.6,3.4,16.2
Sentio,2016-02-15,1000,True,6.3,21.1,5.3,6.6,4.7,21.8,3.0,25.5
Inizio,2016-02-15,1200,True,6.6,24.5,4.5,8.7,4.5,22.4,4.5,20.9
Demoskop,2016-02-15,2100,True,7.1,23.0,5.5,6.6,5.8,27.2,3.0,18.8
Yougov,2016-02-15,1200,True,8.1,21.6,4.8,5.6,5.6,21.3,3.6,25.3
Sentio,2016-01-15,1000,True,6.9,23.0,5.3,7.9,3.9,20.1,2.8,25.5
Sifo,2016-01-15,1200,True,8.1,23.2,5.9,6.8,6.0,25.6,4.4,18.2
Yougov,2016-01-15,1200,True,7.5,21.6,4.2,6.8,4.0,21.4,3.1,28.8
Ipsos,2016-01-15,1800,True,6.6,24.7,6.5,7.2,6.6,25.8,2.7,16.7
Novus,2016-01-15,2330,True,6.6,24.4,5.7,6.4,6.1,23.9,3.6,20.3
Inizio,2016-01-15,1200,True,8.0,23.2,4.6,8.8,5.1,21.3,4.4,22.2
Demoskop,2016-01-15,2100,True,5.4,27.3,5.7,7.4,6.3,23.8,2.9,18.7
Sifo,2015-12-15,1200,True,7.8,26.0,6.1,6.4,6.6,22.1,3.5,19.0
Ipsos,2015-12-15,1800,True,7.3,24.7,5.3,6.8,6.6,24.1,3.8,18.9
Inizio,2015-12-15,1200,True,6.3,23.1,5.7,8.8,4.9,22.7,3.7,22.2
Yougov,2015-12-15,1200,True,7.3,22.3,4.5,6.8,4.9,21.0,2.8,26.9
