institut,datum,urval,urval_skattat,V,S,MP,C,L,M,KD,SD
Yougov,2018-09-15,1200,True,9.4,23.8,3.6,6.0,5.7,16.5,4.8,24.8
Demoskop,2018-09-09,2100,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
Ipsos,2018-09-09,1800,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
Sentio,2018-09-09,1000,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
Skop,2018-09-09,1200,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
Novus,2018-09-09,2330,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
Sifo,2018-09-09,1200,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
SCB,2018-09-09,4500,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
Inizio,2018-09-09,1200,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
Yougov,2018-09-09,1200,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
Inizio,2018-09-08,1200,True,9.6,24.6,5.2,9.4,5.8,19.6,5.9,16.8
Demoskop,2018-09-07,2100,True,9.8,26.5,5.3,8.2,6.2,17.9,6.0,17.2
Skop,2018-09-07,1200,True,10.6,25.9,4.9,7.9,6.5,17.6,6.4,17.4
Sifo,2018-09-07,1200,True,10.0,24.4,6.2,10.0,6.0,16.9,6.3,17.0
Ipsos,2018-09-06,1800,True,10.1,25.9,4.8,9.6,6.2,17.3,5.9,16.8
Skop,2018-09-06,1200,True,10.6,23.1,5.7,7.9,6.2,17.3,6.9,17.7
Sifo,2018-09-06,1200,True,10.1,25.1,6.2,10.0,6.0,17.2,5.9,16.9
Novus,2018-09-06,2330,True,10.0,24.9,5.0,8.6,6.5,17.7,5.7,19.1
Skop,2018-09-05,1200,True,10.6,22.1,5.6,7.7,5.9,18.2,6.6,19.2
Sifo,2018-09-05,1200,True,10.2,25.0,5.4,9.2,6.8,17.2,6.6,17.1
Inizio,2018-09-04,1200,True,9.4,24.6,5.0,8.4,6.0,19.2,6.5,17.3
Skop,2018-09-04,1200,True,11.0,22.5,5.5,8.1,5.4,17.1,7.0,20.0
Sifo,2018-09-04,1200,True,11.1,25.3,5.4,8.4,6.7,17.0,6.0,17.2
Demoskop,2018-09-04,2100,True,9.4,25.5,4.8,8.9,6.2,17.8,5.9,18.2
Sifo,2018-09-03,1200,True,10.5,25.6,5.3,9.0,6.3,16.8,5.3,18.1
Ipsos,2018-09-03,1800,True,10.7,26.5,5.0,9.6,5.9,16.9,6.3,16.3
Skop,2018-09-03,1200,True,11.0,22.9,6.2,8.0,4.9,16.3,6.8,20.3
Skop,2018-09-02,1200,True,10.5,23.3,6.3,7.8,5.4,16.9,6.6,19.7
Demoskop,2018-08-31,2100,True,9.5,24.5,5.1,9.5,6.8,17.1,4.8,19.8
Sifo,2018-08-31,1200,True,10.5,25.7,6.0,9.5,5.7,16.8,5.5,16.9
Inizio,2018-08-31,1200,True,10.1,23.1,5.6,8.5,5.9,19.5,6.0,18.1
Skop,2018-08-31,1200,True,10.5,23.8,6.2,7.5,5.4,17.0,6.7,20.0
Sifo,2018-08-30,1200,True,11.3,25.6,5.9,8.9,5.1,17.7,5.4,17.6
Skop,2018-08-30,1200,True,10.3,24.7,6.0,8.2,5.8,16.9,6.1,19.5
Novus,2018-08-30,2330,True,10.2,24.3,5.7,8.0,6.2,19.4,5.3,18.2
Skop,2018-08-29,1200,True,9.5,25.4,5.5,8.6,6.9,15.5,6.0,20.3
Sentio,2018-08-29,1000,True,10.7,22.1,4.4,6.0,5.2,18.2,5.0,24.0
Sifo,2018-08-29,1200,True,10.5,25.2,5.2,8.9,5.5,17.6,5.7,19.2
Sifo,2018-08-28,1200,True,9.5,25.9,5.5,8.5,5.3,18.3,6.1,18.8
Skop,2018-08-28,1200,True,8.7,25.5,5.6,8.3,6.7,16.2,5.8,20.3
Skop,2018-08-27,1200,True,8.9,24.8,5.0,9.2,6.8,16.5,5.7,20.1
Sifo,2018-08-27,1200,True,9.1,26.2,5.8,9.3,5.8,17.9,5.5,18.5
