namn,parti,valkrets,fodd
Noria Manouchi,M,Malmö kommun,1991
Oliver Rosengren,M,Kronobergs län,1992
Oskar Svärd,M,Örebro län,1995
Peter Ollén,M,Malmö kommun,1959
Pål Jonson,M,Värmlands län,1972
Saila Quicklund,M,Jämtlands län,1961
Stefan Olsson,M,Uppsala län,1968
Sten Bergheden,M,Västra Götalands läns östra,1965
Thomas Ragnarsson,M,Kronobergs län,1970
Tobias Billström,M,Stockholms län,1973
Ulf Kristersson,M,Södermanlands län,1963
Ulrik Nilsson,M,Västra Götalands läns södra,1963
Ulrika Heindorff,M,Skåne läns västra,1983
Viktor Wärnick,M,Gävleborgs län,1991
Amanda Lind,MP,Stockholms län,1980
Amanda Palmstierna,MP,Stockholms län,1977
Annika Hirvonen,MP,Stockholms län,1989
Camilla Hansén,MP,Örebro län,1976
Daniel Helldén,MP,Stockholms kommun,1965
Elin Söderberg,MP,Västerbottens län,1984
Emma Berginger,MP,Skåne läns södra,1986
Emma Nohrén,MP,Göteborgs kommun,1980
Jacob Risberg,MP,Uppsala län,1972
Jan Riise,MP,Hallands län,1957
Janine Alm Ericson,MP,Västra Götalands läns västra,1973
Katarina Luhr,MP,Stockholms kommun,1973
Leila Ali Elmi,MP,Göteborgs kommun,1988
Linus Lakso,MP,Södermanlands län,1983
Malte Tängmark Roos,MP,Malmö kommun,1994
Mats Berglund,MP,Stockholms kommun,1970
Märta Stenevi,MP,Stockholms län,1976
Nils Seye Larsen,MP,Västerbottens län,1980
Per Bolund,MP,Stockholms kommun,1971
Rasmus Ling,MP,Malmö kommun,1984
Rebecka Le Moine,MP,Östergötlands län,1990
Ulrika Westerlund,MP,Stockholms kommun,1972
Åsa Lindhagen,MP,Stockholms kommun,1980
Adnan Dibrani,S,Hallands län,1985
Adrian Magnusson,S,Skåne läns södra,1994
Agneta Nilsson,S,Skåne läns västra,1956
Aida Birinxhiku,S,Hallands län,1999
Alexandra Völker,S,Stockholms län,1989
Amalia Rud Stenlöf,S,Göteborgs kommun,1993
Anders Ygeman,S,Stockholms kommun,1970
Anna Vikström,S,Stockholms län,1957
Anna Wallentheim,S,Skåne läns norra och östra,1985
Anna-Belle Strömberg,S,Västernorrlands län,1965
Anna-Caren Sätherberg,S,Jämtlands län,1964
Annika Strandhäll,S,Stockholms kommun,1975
Arber Gashi,S,Hallands län,1994
Ardalan Shekarabi,S,Uppsala län,1978
Aylin Nouri,S,Västra Götalands läns västra,1992
Azadeh Rojhan,S,Stockholms län,1986
Azra Muranovic,S,Jönköpings län,1987
Björn Wiechel,S,Västerbottens län,1983
Blåvitt Elofsson,S,Värmlands län,1953
Carina Ohlsson,S,Västra Götalands läns östra,1957
Carina Ödebrink,S,Jönköpings län,1961
Caroline Helmersson Olsson,S,Södermanlands län,1963
Daniel Vencu Öhrlund Castro,S,Stockholms kommun,1994
Denis Begic,S,Örebro län,1970
Dzenan Cisija,S,Göteborgs kommun,1976
Erik Ezelius,S,Västra Götalands läns östra,1986
Eva Lindh,S,Östergötlands län,1971
Ewa Pihl Krabbe,S,Skåne läns norra och östra,1947
Fredrik Lundh Sammeli,S,Norrbottens län,1977
Fredrik Olovsson,S,Södermanlands län,1973
Gunilla Carlsson,S,Göteborgs kommun,1966
Gunilla Svantorp,S,Värmlands län,1964
Gustaf Lantz,S,Uppsala län,1981
Hanna Westerén,S,Gotlands län,1981
Hans Ekström,S,Södermanlands län,1958
Helén Pettersson,S,Västerbottens län,1972
Heléne Björklund,S,Blekinge län,1972
Ida Ekeroth Clausson,S,Västra Götalands läns östra,1991
Ida Karkiainen,S,Norrbottens län,1988
Ilan De Basso,S,Jönköpings län,1969
Inga-Lill Sjöblom,S,Uppsala län,1959
Ingela Nylund Watz,S,Stockholms län,1962
Isak From,S,Västerbottens län,1967
Jennie Nilsson,S,Hallands län,1972
Jessica Rodén,S,Västra Götalands läns södra,1976
Joakim Järrebring,S,Västra Götalands läns västra,1976
Joakim Sandell,S,Malmö kommun,1975
Johan Andersson,S,Östergötlands län,1961
Johan Büser,S,Göteborgs kommun,1983
Johan Löfstrand,S,Östergötlands län,1976
